CollEn	particle	centrality	mass	beta	betaErr	temp	tempErr	n-v_prof	nErr	norm	normErr	dETdEta_data	dETdEta_d_err	dETdEtaLeft	dETdEtaLErr	dETdEtaRight	dETdEtaRErr	dETdEtaTotal	dETdEtaTErr	dETdy_d	dETdy_d_err	dETdyLeft	dETdyLErr	dETdyRight	dETdyRErr	dETdyTotal	dETdyTErr	dNdEta_d	dNdEta_d_err	dNdEtaLeft	dNdEtaLErr	dNdEtaRight	dNdEtaRErr	dNdEtaTotal	dNdEtaTErr	dNdy_d	dNdy_d_err	dNdyLeft	dNdyLErr	dNdyRight	dNdyRErr	dNdyTotal	dNdyTErr	Npart	NpartErr
7.7	ka+	5	0.49368	0.725983	0.0133754	0.078884	0.00579097	6.83703	1.27254	13260.9	8009.07	1.09269	0.069656	0.062496	0.00367333	0.00231259	0.000329612	1.1575	0.0736589	1.48692	0.0939558	0.208529	0.0128887	0.00239775	0.000340738	1.69785	0.107185	1.37302	0.085887	0.118585	0.00699878	0.00122995	0.000329612	1.49284	0.0932154	1.94968	0.121308	0.118585	0.00699878	0.00122995	0.000167711	2.06949	0.128475	72	10
7.7	ka+	6	0.49368	0.695767	0.0169697	0.0752337	0.00624689	6.21606	1.20458	11107.9	7844.53	0.578145	0.0385418	0.036754	0.00228521	0.000739995	0.000112091	0.615639	0.0409391	0.796259	0.0524172	0.122935	0.00807006	0.000767859	0.000116027	0.919961	0.0606032	0.740553	0.0482158	0.0697537	0.00435626	0.000398118	0.000112091	0.810704	0.0526842	1.06216	0.0685442	0.0697537	0.00435626	0.000398118	5.82077e-05	1.13231	0.0729587	45	9
7.7	ka+	7	0.49368	0.661414	0.0216345	0.0750868	0.0082368	6.05776	1.87055	5295.49	4919.98	0.256099	0.017969	0.0174299	0.00119802	0.000354797	6.83981e-05	0.273883	0.0192355	0.356767	0.0246211	0.0583162	0.00424973	0.000369962	7.11062e-05	0.415453	0.0289419	0.334275	0.0227947	0.0330802	0.0022846	0.000202622	6.83981e-05	0.367558	0.0251477	0.483698	0.0325792	0.0330802	0.0022846	0.000202622	3.75869e-05	0.516981	0.0349014	26	7
7.7	ka+	8	0.49368	0.7887	0.136558	0.0876822	0.00648091	27.2796	27.0356	649.38	367.014	0.0994921	0.00842736	0.00700408	0.000437012	0.000608362	0.000412282	0.107105	0.00927665	0.140501	0.0115512	0.0233423	0.00152252	0.00063837	0.000428575	0.164481	0.0135023	0.132733	0.0107486	0.0132889	0.00083217	0.000368617	0.000412282	0.146391	0.011993	0.194058	0.0153321	0.0132889	0.00083217	0.000368617	0.000223515	0.207715	0.0163878	14	4
7.7	pba	0	0.93827	0.646131	0.0723194	0.0903528	0.00709017	2.66436	0.980785	22948.6	22522.8	0.294207	0.0274882	0.0151416	0	0.0124266	0	0.321775	0.0274882	0.478781	0.0446739	0.0591555	0	0.0148182	0	0.552754	0.0446739	0.135194	0.0126155	0.00787663	0	0.00461555	0	0.147686	0.0126155	0.222425	0.0207356	0.00787663	0	0.00461555	0	0.234917	0.0207356	337	2
7.7	pba	1	0.93827	0.685644	0.0286958	0.0560114	0.00251501	2.43466	0.497061	2.55428e+07	2.05148e+07	0.240039	0.0232495	0.015278	0	0.00705836	0	0.262376	0.0232495	0.393908	0.0380406	0.0611297	0	0.00850963	0	0.463547	0.0380406	0.110596	0.0106935	0.00795291	0	0.00267565	0	0.121225	0.0106935	0.183509	0.0176973	0.00795291	0	0.00267565	0	0.194138	0.0176973	290	6
7.7	pba	2	0.93827	0.616479	0.056665	0.0823825	0.0214688	2.96648	1.43344	52852.9	179573	0.190862	0.0171461	0.0121772	0	0.00558285	0	0.208623	0.0171461	0.316459	0.0283718	0.0479824	0	0.00669947	0	0.371141	0.0283718	0.088277	0.00791916	0.00633616	0	0.00209821	0	0.0967114	0.00791916	0.147975	0.0132526	0.00633616	0	0.00209821	0	0.15641	0.0132526	226	8
7.7	pba	3	0.93827	0.621886	0.0542746	0.0774242	0.00524204	3.15855	0.990978	92006.2	88034.6	0.138307	0.0128649	0.00963222	0	0.00366464	0	0.151604	0.0128649	0.230584	0.0213661	0.0381548	0	0.00440462	0	0.273144	0.0213661	0.0640888	0.00594819	0.0050127	0	0.00138129	0	0.0704828	0.00594819	0.108021	0.00999173	0.0050127	0	0.00138129	0	0.114415	0.00999173	160	10
7.7	pba	4	0.93827	0.644578	0.0703884	0.0808206	0.00346552	4.78426	1.74619	40904.9	24313.2	0.0998217	0.00970421	0.00805564	0	0.00263827	0	0.110516	0.00970421	0.168322	0.0162544	0.0320963	0	0.0031618	0	0.20358	0.0162544	0.0464243	0.00449942	0.00419297	0	0.000989109	0	0.0516064	0.00449942	0.079143	0.0076227	0.00419297	0	0.000989109	0	0.0843251	0.0076227	110	11
7.7	pba	5	0.93827	0.670104	0.0604018	0.0717069	0.00980654	5.74371	2.15245	160259	331910	0.0645679	0.00677957	0.00643544	0	0.00158952	0	0.0725928	0.00677957	0.110409	0.0114544	0.0259765	0	0.00190697	0	0.138292	0.0114544	0.0301452	0.00314963	0.00335091	0	0.000597174	0	0.0340933	0.00314963	0.0521269	0.00538455	0.00335091	0	0.000597174	0	0.056075	0.00538455	72	10
